degree,count,probability
1,650,0.5090054815974941
2,212,0.16601409553641347
3,98,0.07674236491777604
4,51,0.039937353171495694
5,27,0.021143304620203602
6,23,0.018010963194988253
7,26,0.020360219263899765
8,15,0.011746280344557557
9,21,0.01644479248238058
10,11,0.008613938919342208
11,13,0.010180109631949883
12,11,0.008613938919342208
13,5,0.003915426781519186
14,6,0.004698512137823023
15,6,0.004698512137823023
16,3,0.0023492560689115116
17,6,0.004698512137823023
18,5,0.003915426781519186
19,5,0.003915426781519186
20,4,0.0031323414252153485
21,2,0.0015661707126076742
22,2,0.0015661707126076742
23,3,0.0023492560689115116
24,4,0.0031323414252153485
25,3,0.0023492560689115116
26,5,0.003915426781519186
27,4,0.0031323414252153485
28,2,0.0015661707126076742
29,1,0.0007830853563038371
30,2,0.0015661707126076742
32,1,0.0007830853563038371
33,1,0.0007830853563038371
35,1,0.0007830853563038371
36,1,0.0007830853563038371
37,2,0.0015661707126076742
38,1,0.0007830853563038371
44,3,0.0023492560689115116
45,1,0.0007830853563038371
46,1,0.0007830853563038371
47,1,0.0007830853563038371
49,1,0.0007830853563038371
50,1,0.0007830853563038371
53,2,0.0015661707126076742
57,1,0.0007830853563038371
60,2,0.0015661707126076742
64,1,0.0007830853563038371
66,1,0.0007830853563038371
67,1,0.0007830853563038371
71,3,0.0023492560689115116
75,1,0.0007830853563038371
77,1,0.0007830853563038371
79,1,0.0007830853563038371
83,2,0.0015661707126076742
88,2,0.0015661707126076742
94,1,0.0007830853563038371
100,1,0.0007830853563038371
103,1,0.0007830853563038371
130,1,0.0007830853563038371
148,1,0.0007830853563038371
186,1,0.0007830853563038371
193,1,0.0007830853563038371
211,1,0.0007830853563038371
227,1,0.0007830853563038371
242,1,0.0007830853563038371
252,1,0.0007830853563038371
280,2,0.0015661707126076742
380,1,0.0007830853563038371
462,1,0.0007830853563038371
514,1,0.0007830853563038371
675,1,0.0007830853563038371
751,1,0.0007830853563038371
